date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:44:55	13064/13064	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:26%20GMT	http://www.julius-berger.com/career/corporate-culture/	C:/My%20Web%20Sites/JB/www.julius-berger.com/career/corporate-culture/index.html	(from http://www.julius-berger.com/)
07:44:55	13536/13536	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:27%20GMT	http://www.julius-berger.com/career/jb-experiences/	C:/My%20Web%20Sites/JB/www.julius-berger.com/career/jb-experiences/index.html	(from http://www.julius-berger.com/)
07:44:56	1566/1566	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202014%2006:44:27%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/jbn_13_button_press-releases.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/jbn_13_button_press-releases.png	(from http://www.julius-berger.com/)
07:44:57	19861/19861	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:27%20GMT	http://www.julius-berger.com/career/apply-online/	C:/My%20Web%20Sites/JB/www.julius-berger.com/career/apply-online/index.html	(from http://www.julius-berger.com/)
07:44:57	13387/13387	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:28%20GMT	http://www.julius-berger.com/about-us/what-makes-us-nigerian/	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/what-makes-us-nigerian/index.html	(from http://www.julius-berger.com/)
07:44:57	14837/14837	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:27%20GMT	http://www.julius-berger.com/contact/	C:/My%20Web%20Sites/JB/www.julius-berger.com/contact/index.html	(from http://www.julius-berger.com/)
07:44:57	19548/19548	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:28%20GMT	http://www.julius-berger.com/contact/become-a-supplier/	C:/My%20Web%20Sites/JB/www.julius-berger.com/contact/become-a-supplier/index.html	(from http://www.julius-berger.com/)
07:44:57	2114/2114	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Jan%202014%2006:44:29%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/project-gallery_01.png	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/project-gallery_01.png	(from http://www.julius-berger.com/)
07:44:59	13507/13507	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:30%20GMT	http://www.julius-berger.com/about-us/why-do-clients-trust-in-us/	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/why-do-clients-trust-in-us/index.html	(from http://www.julius-berger.com/)
07:44:59	14220/14220	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:30%20GMT	http://www.julius-berger.com/about-us/what-does-corporate-citizenship-mean-to-us/	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/what-does-corporate-citizenship-mean-to-us/index.html	(from http://www.julius-berger.com/)
07:45:00	13368/13368	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:31%20GMT	http://www.julius-berger.com/about-us/what-does-expertise-mean-to-us/	C:/My%20Web%20Sites/JB/www.julius-berger.com/about-us/what-does-expertise-mean-to-us/index.html	(from http://www.julius-berger.com/)
07:45:01	15708/15708	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:32%20GMT	http://www.julius-berger.com/inside-jb/archive/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/archive/index.html	(from http://www.julius-berger.com/)
07:45:01	16276/16276	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:33%20GMT	http://www.julius-berger.com/press-room/latest-news/archive/	C:/My%20Web%20Sites/JB/www.julius-berger.com/press-room/latest-news/archive/index.html	(from http://www.julius-berger.com/)
07:45:02	15624/15624	---M--	200	added ('OK')	application/x-javascript	etag:%223d08-4b1209abd2700%22	http://www.julius-berger.com/fileadmin/templates/js/fancybox/jquery.fancybox-1.3.4.pack.js	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/templates/js/fancybox/jquery.fancybox-1.3.4.pack.js	(from http://www.julius-berger.com/)
07:45:02	11571/11571	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:34%20GMT	http://www.julius-berger.com/inside-jb/view/article/company-holds-hiv-aids-training/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/view/article/company-holds-hiv-aids-training/index.html	(from http://www.julius-berger.com/)
07:45:03	11643/11643	---MC-	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2006:44:34%20GMT	http://www.julius-berger.com/inside-jb/view/article/julius-berger-wins-2013-pearl-awards-1/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/view/article/julius-berger-wins-2013-pearl-awards-1/index.html	(from http://www.julius-berger.com/)
