date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:13:50	64268/64268	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:12:05%20GMT	http://www.julius-berger.com/uploads/pics/_0020_CBL5.JPG.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0020_CBL5.JPG.jpg	(from http://www.julius-berger.com/on-site/)
09:13:57	50900/50900	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:13:06%20GMT	http://www.julius-berger.com/uploads/pics/_0005_Bonny1.JPG.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0005_Bonny1.JPG.jpg	(from http://www.julius-berger.com/on-site/)
09:13:58	11888/-1	---M--	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:13:20%20GMT	http://www.julius-berger.com/inside-jb/view/article/julius-berger-donates-1000-books-to-public-library/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/view/article/julius-berger-donates-1000-books-to-public-library/index.html	(from http://www.julius-berger.com/inside-jb/archive/)
09:13:59	157085/157085	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:12:29%20GMT	http://www.julius-berger.com/typo3temp/pics/_0020_CBL5.JPG_8b64e121a9.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/_0020_CBL5.JPG_8b64e121a9.jpg	(from http://www.julius-berger.com/on-site/)
09:14:01	11967/-1	---M--	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:13:30%20GMT	http://www.julius-berger.com/inside-jb/archive/archive/2013//browse/1/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/archive/archive/2013/browse/1/index.html	(from http://www.julius-berger.com/inside-jb/archive/)
09:14:03	15833/-1	---M--	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:13:32%20GMT	http://www.julius-berger.com/inside-jb/archive/archive/2013/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/archive/archive/2013/index.html	(from http://www.julius-berger.com/inside-jb/archive/)
09:14:05	15430/-1	---M--	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:13:34%20GMT	http://www.julius-berger.com/inside-jb/archive/archive/2012/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/archive/archive/2012/index.html	(from http://www.julius-berger.com/inside-jb/archive/)
09:14:06	50582/50582	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:13:31%20GMT	http://www.julius-berger.com/uploads/pics/_0006_Bonny2.jpg.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0006_Bonny2.jpg.jpg	(from http://www.julius-berger.com/on-site/)
09:14:08	12555/-1	---M--	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:13:38%20GMT	http://www.julius-berger.com/inside-jb/archive/archive/2011/	C:/My%20Web%20Sites/JB/www.julius-berger.com/inside-jb/archive/archive/2011/index.html	(from http://www.julius-berger.com/inside-jb/archive/)
09:14:11	33871/33871	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:13:38%20GMT	http://www.julius-berger.com/uploads/pics/_0007_Bonny3.jpg.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/_0007_Bonny3.jpg.jpg	(from http://www.julius-berger.com/on-site/)
